,Age,Gender,Occupation,Location,Shopping Frequency,Shopping Methods,"Online, instore preferences",Influence Factors,Types of Clothing,Brand Preference,Brand Choice Factors,Likeliness of Promotion or Discount,Preferred Types of Promotions or Discounts,Communication Methods,Average Spent,Payment Methods
16,18-24,Female,Student/Undergraduate,Piliyandala,Rarely,"Physical retail stores, Boutiques",Equally prefer both,"Convenience, Availability of a wide range of options, Personalized shopping experience","Casual Wear, Accessories(e.g.bags,jewellary","No, I explore various brands","Price and affordability, Trendiness and style, Promotions and Discounts",Very likely,"Percentage discounts, Seasonal sales, Free shipping","Email newsletters, SMS/text messages, In store notifications",Rs.2000-Rs.5000,Credit/Debit Card
17,18-24,Female,Student/Undergraduate,Homagama,Rarely,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Convenience, Availability of a wide range of options, Ability to try on products before purchasing",Casual Wear,"No, I explore various brands","Price and affordability, Brand's commitment to sustainability, Promotions and Discounts",Likely,"Percentage discounts, Seasonal sales, Loyalty rewards programs","SMS/text messages, Social media updates, Leaflets",Rs.5000-Rs.10000,"Credit/Debit Card, Cash"
18,18-24,Female,Student/Undergraduate,Other,Once a month,"Physical retail stores, Department stores",Physical retail stores,"Convenience, Availability of a wide range of options, Ability to try on products before purchasing",Casual Wear,"No, I explore various brands","Price and affordability, Trendiness and style, Promotions and Discounts",Likely,"Percentage discounts, Seasonal sales, Loyalty rewards programs","SMS/text messages, Social media updates, In store notifications",Rs.2000-Rs.5000,"Credit/Debit Card, Cash"
19,18-24,Female,Student/Undergraduate,Homagama,Rarely,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Convenience, Personalized shopping experience, Competitive pricing",Formal Wear,"No, I explore various brands","Price and affordability, Brand's commitment to sustainability, Promotions and Discounts",Very likely,"Buy-one-get-one(BOGO) deals, Seasonal sales, Free shipping","SMS/text messages, Social media updates, Leaflets",Rs.2000-Rs.5000,Credit/Debit Card
20,25-30,Female,"Office Worker (e.g., Administrative, Clerical, etc.)",Other,Multiple times a month,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Personalized shopping experience, Competitive pricing, Ability to try on products before purchasing","Casual Wear, Accessories(e.g.bags,jewellary","No, I explore various brands","Brand reputation and quality, Price and affordability, Trendiness and style",Likely,"Percentage discounts, Buy-one-get-one(BOGO) deals, Seasonal sales","SMS/text messages, Social media updates, In store notifications",Rs.5000-Rs.10000,"Credit/Debit Card, Cash"
21,18-24,Female,Student/Undergraduate,Other,Rarely,"Physical retail stores, Online fashion stores/ web-sites",Equally prefer both,"Convenience, Availability of a wide range of options, Personalized shopping experience",Formal Wear,"No, I explore various brands","Brand reputation and quality, Price and affordability, Promotions and Discounts",Likely,"Percentage discounts, Seasonal sales, Free shipping","SMS/text messages, Social media updates, In store notifications",Rs.2000-Rs.5000,"Credit/Debit Card, Cash"
22,18-24,Female,Student/Undergraduate,Maharagama,Rarely,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Convenience, Personalized shopping experience, Ability to try on products before purchasing",Casual Wear,"No, I explore various brands","Brand reputation and quality, Price and affordability, Promotions and Discounts",Likely,"Buy-one-get-one(BOGO) deals, Seasonal sales, Free shipping","SMS/text messages, Social media updates, In store notifications",Rs.2000-Rs.5000,"Credit/Debit Card, Cash"
23,18-24,Female,Student/Undergraduate,Colombo,Once a month,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Availability of a wide range of options, Personalized shopping experience, Ability to try on products before purchasing",Casual Wear,"Yes, I have preferred brands","Brand reputation and quality, Price and affordability, Trendiness and style",Neutral,"Percentage discounts, Seasonal sales, Loyalty rewards programs","SMS/text messages, Social media updates, In store notifications",Rs.2000-Rs.5000,Cash
24,18-24,Female,Student/Undergraduate,Homagama,Once a month,"Physical retail stores, Online fashion stores/ web-sites",Depends on the occasion,"Convenience, Availability of a wide range of options, Personalized shopping experience",Casual Wear,"Yes, I have preferred brands","Brand reputation and quality, Price and affordability, Trendiness and style",Likely,"Percentage discounts, Seasonal sales, Free shipping","SMS/text messages, Social media updates, In store notifications",Rs.2000-Rs.5000,"Credit/Debit Card, Cash"
25,18-24,Female,Student/Undergraduate,Piliyandala,Every few weeks,"Physical retail stores, Online fashion stores/ web-sites",Online fashion stores,"Convenience, Personalized shopping experience, Competitive pricing","Accessories(e.g.bags,jewellary","Yes, I have preferred brands","Price and affordability, Trendiness and style, Promotions and Discounts",Very likely,"Buy-one-get-one(BOGO) deals, Free shipping, Other","Email newsletters, SMS/text messages, Social media updates",More than 10000,"Credit/Debit Card, Cash, Mobile Payment Apps, Online Payment Platforms"
26,18-24,Male,Self-Employed/Entrepreneur,Homagama,Once a month,"Physical retail stores, Thrift/ Second Hand shops",Physical retail stores,"Convenience, Availability of a wide range of options, Competitive pricing",Casual Wear,"No, I explore various brands","Price and affordability, Trendiness and style, Promotions and Discounts",Very likely,"Percentage discounts, Buy-one-get-one(BOGO) deals, Seasonal sales","Email newsletters, Social media updates, Leaflets",Less than Rs.2000,"Credit/Debit Card, Cash"
27,18-24,Male,Student/Undergraduate,Homagama,Multiple times a month,"Online fashion stores/ web-sites, Department stores",Equally prefer both,"Convenience, Personalized shopping experience, Competitive pricing",Casual Wear,"No, I explore various brands","Price and affordability, Trendiness and style, Promotions and Discounts",Likely,"Percentage discounts, Seasonal sales, Free shipping","Social media updates, In store notifications, Leaflets",Rs.5000-Rs.10000,"Credit/Debit Card, Cash"
28,25-30,Male,"Office Worker (e.g., Administrative, Clerical, etc.)",Piliyandala,Rarely,"Boutiques, Thrift/ Second Hand shops",Physical retail stores,"Convenience, Availability of a wide range of options, Personalized shopping experience",Casual Wear,"No, I explore various brands","Price and affordability, Trendiness and style, Promotions and Discounts",Very likely,"Percentage discounts, Buy-one-get-one(BOGO) deals, Free shipping","Email newsletters, Social media updates, Leaflets",Rs.2000-Rs.5000,Cash
29,25-30,Male,"Office Worker (e.g., Administrative, Clerical, etc.)",Piliyandala,Once a month,"Online fashion stores/ web-sites, Boutiques",Equally prefer both,"Convenience, Availability of a wide range of options, Ability to try on products before purchasing",Casual Wear,"No, I explore various brands","Brand reputation and quality, Price and affordability, Promotions and Discounts",Very likely,"Percentage discounts, Seasonal sales, Free shipping","Email newsletters, SMS/text messages, Social media updates",Rs.2000-Rs.5000,Credit/Debit Card
30,18-24,Male,Student/Undergraduate,Kottawa,Once a month,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Availability of a wide range of options, Personalized shopping experience, Ability to try on products before purchasing","Casual Wear, Athletic/Activewear","Yes, I have preferred brands","Brand reputation and quality, Price and affordability, Brand's commitment to sustainability",Very likely,"Percentage discounts, Free shipping, Other","Email newsletters, SMS/text messages, In store notifications",Rs.2000-Rs.5000,"Credit/Debit Card, Cash, Mobile Payment Apps, Online Payment Platforms"
31,25-30,Female,"Office Worker (e.g., Administrative, Clerical, etc.)",Other,Once a month,"Online fashion stores/ web-sites, Boutiques",Depends on the occasion,"Convenience, Availability of a wide range of options, Competitive pricing","Casual Wear, Formal Wear, Accessories(e.g.bags,jewellary","No, I explore various brands","Brand reputation and quality, Price and affordability, Trendiness and style",Very likely,"Buy-one-get-one(BOGO) deals, Seasonal sales, Free shipping","SMS/text messages, Social media updates, In store notifications",Rs.5000-Rs.10000,"Credit/Debit Card, Cash, Mobile Payment Apps, Online Payment Platforms"
32,18-24,Female,Student/Undergraduate,Piliyandala,Multiple times a month,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Convenience, Availability of a wide range of options, Competitive pricing","Casual Wear, Formal Wear","No, I explore various brands","Brand reputation and quality, Price and affordability, Promotions and Discounts",Likely,"Percentage discounts, Buy-one-get-one(BOGO) deals, Loyalty rewards programs","Email newsletters, SMS/text messages, In store notifications",Rs.5000-Rs.10000,Credit/Debit Card
33,18-24,Female,"Office Worker (e.g., Administrative, Clerical, etc.)",Colombo,Once a month,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Availability of a wide range of options, Personalized shopping experience, Environmental considerations (eg. reduce carbon emission)","Casual Wear, Formal Wear, Accessories(e.g.bags,jewellary","No, I explore various brands","Price and affordability, Brand's commitment to sustainability, Trendiness and style",Neutral,"Seasonal sales, Loyalty rewards programs, Free shipping","Email newsletters, SMS/text messages, Social media updates",Rs.2000-Rs.5000,"Credit/Debit Card, Cash, Online Payment Platforms"
34,18-24,Female,Student/Undergraduate,Piliyandala,Once a month,"Online fashion stores/ web-sites, Boutiques",Equally prefer both,"Convenience, Availability of a wide range of options, Personalized shopping experience",Casual Wear,"No, I explore various brands","Brand reputation and quality, Price and affordability, Promotions and Discounts",Very likely,"Percentage discounts, Buy-one-get-one(BOGO) deals, Other","SMS/text messages, Social media updates, In store notifications",Rs.2000-Rs.5000,"Cash, Online Payment Platforms"
35,25-30,Male,"Office Worker (e.g., Administrative, Clerical, etc.)",Piliyandala,Multiple times a month,"Physical retail stores, Online fashion stores/ web-sites",Online fashion stores,"Convenience, Personalized shopping experience, Competitive pricing",Casual Wear,"Yes, I have preferred brands","Brand reputation and quality, Price and affordability, Brand's commitment to sustainability",Very likely,"Percentage discounts, Buy-one-get-one(BOGO) deals, Seasonal sales","Email newsletters, SMS/text messages, Social media updates",Rs.2000-Rs.5000,Online Payment Platforms
36,25-30,Female,"Professional (e.g., Engineer, Doctor, Lawyer, etc.)",Colombo,Multiple times a month,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Convenience, Availability of a wide range of options, Ability to try on products before purchasing","Casual Wear, Formal Wear, Accessories(e.g.bags,jewellary, Ethnic or traditional wear","No, I explore various brands","Price and affordability, Trendiness and style, Promotions and Discounts",Likely,"Percentage discounts, Buy-one-get-one(BOGO) deals, Seasonal sales","Email newsletters, SMS/text messages, Social media updates",More than 10000,Cash
37,30-45,Male,"Office Worker (e.g., Administrative, Clerical, etc.)",Kottawa,Once a month,"Physical retail stores, Department stores",Physical retail stores,"Availability of a wide range of options, Competitive pricing, Ability to try on products before purchasing",Casual Wear,"Yes, I have preferred brands","Price and affordability, Brand's commitment to sustainability, Trendiness and style",Very likely,"Buy-one-get-one(BOGO) deals, Seasonal sales, Free shipping","SMS/text messages, Social media updates, Leaflets",Rs.2000-Rs.5000,Credit/Debit Card
38,25-30,Male,"Professional (e.g., Engineer, Doctor, Lawyer, etc.)",Piliyandala,Rarely,"Physical retail stores, Online fashion stores/ web-sites",Depends on the occasion,"Convenience, Personalized shopping experience, Ability to try on products before purchasing","Casual Wear, Formal Wear","No, I explore various brands","Brand reputation and quality, Price and affordability, Trendiness and style",Neutral,"Percentage discounts, Buy-one-get-one(BOGO) deals, Free shipping","SMS/text messages, Social media updates, In store notifications",Rs.2000-Rs.5000,Credit/Debit Card
39,25-30,Male,"Office Worker (e.g., Administrative, Clerical, etc.)",Other,Multiple times a month,"Physical retail stores, Online fashion stores/ web-sites",Equally prefer both,"Convenience, Availability of a wide range of options, Personalized shopping experience","Casual Wear, Formal Wear","Yes, I have preferred brands","Brand reputation and quality, Price and affordability, Trendiness and style",Very likely,"Percentage discounts, Buy-one-get-one(BOGO) deals, Free shipping","SMS/text messages, Social media updates, In store notifications",Rs.2000-Rs.5000,"Credit/Debit Card, Cash"
